City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
212,Damietta,EG,31.4165,31.8133,62.6,82,20,12.66,few clouds
213,Zyryanka,RU,65.75,150.85,28.42,86,100,12.53,overcast clouds
214,Thunder Bay,CA,48.4001,-89.3168,33.8,69,20,10.36,few clouds
215,Los Llanos De Aridane,ES,28.6585,-17.9182,66.2,72,75,6.91,broken clouds
216,Carnarvon,AU,-24.8667,113.6333,75.2,33,100,12.66,overcast clouds
217,Cullera,ES,39.1667,-0.25,57.0,89,100,5.41,light rain
218,Liverpool,GB,53.4106,-2.9779,42.8,70,11,4.61,few clouds
219,Tasiilaq,GL,65.6145,-37.6368,26.6,54,75,14.97,broken clouds
220,Cherskiy,RU,68.75,161.3,33.89,76,100,21.21,overcast clouds
221,Iqaluit,CA,63.7506,-68.5145,17.6,79,75,19.57,snow
222,Nelspruit,ZA,-25.4745,30.9703,59.0,82,3,3.44,clear sky
223,Ketchikan,US,55.3422,-131.6461,55.4,47,1,13.8,clear sky
224,Kaeo,NZ,-35.1,173.7833,69.01,66,18,5.84,few clouds
225,Hamilton,US,39.1834,-84.5333,37.99,93,75,10.36,broken clouds
226,Ponta Do Sol,PT,32.6667,-17.1,63.0,76,93,1.99,overcast clouds
227,Walvis Bay,NA,-22.9575,14.5053,69.8,56,35,4.61,scattered clouds
228,Buenavista,PH,8.9769,125.4089,85.35,64,100,0.47,overcast clouds
229,Valle Hermoso,MX,25.6667,-97.8333,69.8,88,75,17.27,broken clouds
230,Mwingi,KE,-0.9344,38.0601,64.65,95,100,3.04,overcast clouds
231,Curaca,BR,-8.9903,-39.9094,80.1,64,98,1.43,overcast clouds
232,Shingu,JP,33.7333,135.9833,69.8,43,75,4.61,broken clouds
233,Turukhansk,RU,65.8167,87.9833,12.0,90,92,7.38,overcast clouds
234,Manaus,BR,-3.1019,-60.025,78.8,89,20,3.44,few clouds
235,Taltal,CL,-25.4,-70.4833,65.48,72,99,3.15,overcast clouds
236,Urumqi,CN,43.801,87.6005,35.6,93,90,2.24,light rain
237,Morros,BR,-9.4467,-46.3003,71.22,89,100,2.93,overcast clouds
238,Zhigansk,RU,66.7697,123.3711,9.7,87,99,3.0,overcast clouds
239,Manaquiri,BR,-3.3167,-60.35,78.8,89,20,3.44,few clouds
240,Necochea,AR,-38.5473,-58.7368,66.0,86,100,17.0,overcast clouds
241,Portland,US,45.5234,-122.6762,75.99,25,75,10.36,broken clouds
242,Krasnyy Yar,RU,46.5331,48.3456,50.0,66,90,4.47,haze
243,Koumac,NC,-20.5667,164.2833,81.19,72,24,7.87,few clouds
244,Mogadishu,SO,2.0371,45.3438,82.0,76,100,9.08,light rain
245,Belmonte,BR,-15.8631,-38.8828,77.0,83,40,5.75,scattered clouds
246,Namibe,AO,-15.1961,12.1522,80.24,73,3,3.06,clear sky
247,Barrhead,GB,55.7992,-4.3929,39.99,93,72,3.44,broken clouds
248,Eureka,US,40.8021,-124.1637,55.99,75,19,8.01,few clouds
249,Sakaiminato,JP,35.55,133.2333,64.4,48,75,10.36,broken clouds
250,Oussouye,SN,12.485,-16.5469,71.6,94,20,4.61,few clouds
