City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
125,Salalah,OM,78.8,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
133,Hithadhoo,MV,82.42,scattered clouds,-0.6,73.0833,Scoop Guest House
135,Isangel,VU,84.2,broken clouds,-19.55,169.2667,Tanna Lodge
138,Choix,MX,82.33,overcast clouds,26.7092,-108.3219,Hotel Montesclaros
144,Georgetown,MY,84.2,few clouds,5.4112,100.3354,Cititel Penang
146,Wamba,NG,75.79,light rain,8.9333,8.6,Roma Zee Guest House Annex
152,Zacatepec,MX,90.0,clear sky,18.65,-99.2,Villas El Paraíso
153,Mubi,NG,84.67,overcast clouds,10.2676,13.2644,Hotel
157,Aloleng,PH,83.35,overcast clouds,16.1307,119.7824,Agno Umbrella Rocks
158,El Vigia,VE,79.09,clear sky,8.6219,-71.6506,Liceo Bolivariano 19 De Abril
161,Zaraza,VE,79.11,few clouds,9.3503,-65.3245,Hotel Zaraza
165,Kahului,US,84.2,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
166,Cairns,AU,82.0,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
167,Pangkalanbuun,ID,83.19,light rain,-2.6833,111.6167,Grand Kecubung Hotel
175,Mareeba,AU,82.0,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
182,Weligama,LK,78.13,overcast clouds,5.9667,80.4167,Weligama Bay Resort
183,Sabang,ID,83.46,overcast clouds,5.8933,95.3214,Hotel Citra
184,San Policarpo,PH,82.81,scattered clouds,12.1791,125.5072,JM Lodge
188,Road Town,VG,78.01,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
193,Alyangula,AU,87.8,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
198,Matamoros,MX,89.6,scattered clouds,25.5333,-103.25,Quinta Belem
203,Mackay,AU,77.0,light rain,-21.15,149.2,International Lodge Motel
204,Itarema,BR,77.13,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
205,Liku,ID,85.82,few clouds,-0.7275,119.8922,Kost Raisa & homestay
206,Vao,NC,75.29,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
208,Vieux-Habitants,GP,77.0,clear sky,16.0589,-61.7659,Gîtes Dardanelle
211,Kulhudhuffushi,MV,83.68,few clouds,6.6221,73.07,Haajy Guest House 1
216,Carnarvon,AU,75.2,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
228,Buenavista,PH,85.35,overcast clouds,8.9769,125.4089,Room For Rent
231,Curaca,BR,80.1,overcast clouds,-8.9903,-39.9094,Curaca
234,Manaus,BR,78.8,few clouds,-3.1019,-60.025,Manaus Hotéis Millennium
241,Portland,US,75.99,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
243,Koumac,NC,81.19,few clouds,-20.5667,164.2833,Le Monitel
244,Mogadishu,SO,82.0,light rain,2.0371,45.3438,Hotel Juba
245,Belmonte,BR,77.0,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
246,Namibe,AO,80.24,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
253,Emerald,AU,78.8,overcast clouds,-23.5333,148.1667,The Irish Village
258,Meulaboh,ID,78.37,overcast clouds,4.1363,96.1285,Kost Pria
261,Port-Gentil,GA,82.15,overcast clouds,-0.7193,8.7815,Fengshui Residence
262,Vung Tau,VN,82.81,moderate rain,10.345999999999998,107.0843,Green hotel
266,Port Hedland,AU,87.8,clear sky,-20.3167,118.5667,The Esplanade Hotel
270,Manggar,ID,85.46,broken clouds,-2.8833,108.2667,Guest Hotel
285,Auki,SB,85.01,overcast clouds,-8.7676,160.7034,Auki Motel
286,Puerto Colombia,CO,80.6,clear sky,10.9878,-74.9547,Hotel El Emigrante
294,Longhua,CN,79.97,clear sky,23.6137,114.1919,Huadu Hotel
299,Sur,OM,84.0,clear sky,22.5667,59.5289,Sur Plaza Hotel
300,Bilma,NE,83.62,clear sky,18.6853,12.9164,Expeditions Ténére voyages
303,Limon,CR,80.6,broken clouds,10.0,-83.0333,Hotel Playa Bonita
305,Thio,NC,78.8,overcast clouds,-21.6167,166.2167,La Ferme de Thio
310,Mankono,CI,75.61,broken clouds,8.0586,-6.1897,Hotel Cajoux
316,Teahupoo,PF,86.0,light rain,-17.8333,-149.2667,Vanira Lodge
317,Bandarbeyla,SO,81.14,light rain,9.4942,50.8122,JABIR HOTEL
318,Bambanglipuro,ID,79.86,scattered clouds,-7.95,110.2833,Puri Brata
321,Manzanillo,CU,78.37,broken clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
330,Kirakira,SB,85.59,overcast clouds,-10.4544,161.9205,SanBiz Lodge
333,Saint-Joseph,RE,77.0,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
336,Tanete,ID,83.01,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
340,San Juan De Colon,VE,80.6,scattered clouds,8.0313,-72.2605,Hotel San Francisco de Padua C.A
354,Mahajanga,MG,75.2,scattered clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
358,Touros,BR,78.8,few clouds,-5.1989,-35.4608,INN NEW HORIZON
360,Jhanjharpur,IN,82.85,overcast clouds,26.2667,86.2833,Krishna Sweets
361,Palu,ID,87.73,few clouds,-0.8917,119.8707,Hotel Santika Palu
